,id,Description,Control,Time_min,PMID,target,sign,class,cell_line,treatment,UniprotID
1,102_117,RG7356,Vehicle,30.0,22777824,AKT1,1,Serine/Threonine,,,P31749
2,105_117,RG7356,Vehicle,90.0,22777824,AKT1,1,Serine/Threonine,,,P31749
3,111_45,BI 4834 (on Mitosis Nocodazole),Mitosis (Nocodazole),15.0,21857030,PLK1,-1,Serine/Threonine,,,P53350
4,114_48,Starved,Insulin,,21659604,MTOR,-1,Serine/Threonine,,,P42345
5,117_48,Torin1,Insulin,,21659604,MTOR,-1,Serine/Threonine,,,P42345
6,120_48,Rapamycin,Insulin,,21659604,MTOR,-1,Serine/Threonine,,,P42345
7,1292_272,EGFRi (PD-168393),Control,,26060313,EGFR,-1,Tyrosine,,,P00533
8,1293_272,EGFRi (PD-153035),Control,,26060313,EGFR,-1,Tyrosine,,,P00533
9,1294_272,ERKi (ERK inhibitor),Control,,26060313,MAPK1,-1,Serine/Threonine,,,P28482
10,1295_272,ERKi (ERK inhibitor II),Control,,26060313,MAPK1,-1,Serine/Threonine,,,P28482
11,1296_272,MEKi (GSK-1120212),Control,,26060313,MAP2K1,-1,Dual-specificity,,,Q02750
12,1296_272,MEKi (GSK-1120212),Control,,26060313,MAP2K2,-1,Dual-specificity,,,P36507
13,1297_272,MEKi (U0126),Control,,26060313,MAP2K1,-1,Dual-specificity,,,Q02750
14,1297_272,MEKi (U0126),Control,,26060313,MAP2K2,-1,Dual-specificity,,,P36507
15,1299_272,mTORi (Torin-1),Control,,26060313,MTOR,-1,Serine/Threonine,,,P42345
16,1300_272,P70S6K1i (PF-4708671),Control,,26060313,RPS6KB1,-1,Serine/Threonine,,,P23443
17,1301_272,P70S6K1i (DG2),Control,,26060313,RPS6KB1,-1,Serine/Threonine,,,P23443
18,1302_272,PI3Ki (GDC-0941),Control,,26060313,AKT1,-1,Serine/Threonine,,,P31749
19,1303_272,PI3Ki (PI-103),Control,,26060313,AKT1,-1,Serine/Threonine,,,P31749
20,1304_272,PKCi (Gö-6976),Control,,26060313,PRKCA,-1,Serine/Threonine,,,P17252
21,1305_272,PKCi (BIM-1),Control,,26060313,PRKCA,-1,Serine/Threonine,,,P17252
22,1309_272,ROCKi (Y-27632),Control,,26060313,ROCK1,-1,Serine/Threonine,,,Q13464
23,1320_277,Selumetinib (AZD6244),Control,,25850435,MAP2K1,-1,Dual-specificity,,,Q02750
24,1320_277,Selumetinib (AZD6244),Control,,25850435,MAP2K2,-1,Dual-specificity,,,P36507
25,1321_277,Selumetinib (AZD6244),Control,,25850435,MAP2K1,-1,Dual-specificity,,,Q02750
26,1321_277,Selumetinib (AZD6244),Control,,25850435,MAP2K2,-1,Dual-specificity,,,P36507
